subid,trial,person,role,target,rep_num,age,experiment,utterance,correct
4,1,child,matcher,K1,1,6,adult-child,zzz,TRUE
4,1,parent,director,K1,1,6,adult-child,"OK, so you see the tangrams? Do you remember this? OK, so mine looks like a guy with a little hat and he's going",TRUE
4,2,child,director,C1,1,6,adult-child,Mine looks like a guy bendi--mine looks kinda like a guy bending down,TRUE
4,2,parent,matcher,C1,1,6,adult-child,Oh I see,TRUE
4,3,parent,director,I1,1,6,adult-child,Mine looks like a guy carrying a tray saying would you like some?,TRUE
4,4,child,director,E1,1,6,adult-child,Mine looks like a person jumping for joy,TRUE
4,5,parent,director,H1,1,6,adult-child,Mine looks like someone's hungry and is like can I please have some more,TRUE
4,6,child,director,B1,1,6,adult-child,My mine looks like a person that has their hands in their pocket and is walking away,TRUE
4,6,parent,matcher,B1,1,6,adult-child,oh yeah!,TRUE
4,7,parent,director,G1,1,6,adult-child,Well mine looks like someone who's kneeling down maybe to do something on the ground,TRUE
4,8,child,director,A1,1,6,adult-child,Mine looks like something walking away zzz,TRUE
4,9,parent,director,D1,1,6,adult-child,Mine looks like a person swimming,TRUE
4,10,child,director,F1,1,6,adult-child,Mine looks like a person raise mine looks like a person making their hands in like a triangle shape and and and their feet are apart,TRUE
4,10,parent,matcher,F1,1,6,adult-child,Oh yeah they're like hold that bus,TRUE
4,11,child,director,H1,2,6,adult-child,Mine looks like mine looks like a monk Mhm,TRUE
4,11,parent,matcher,H1,2,6,adult-child,oh yeah!,TRUE
4,12,parent,director,C1,2,6,adult-child,Mine looks like a person who dropped their keys on the ground,TRUE
4,13,child,director,K1,2,6,adult-child,Mine looks like a person that's ready to eat something and waiting for someone give them food,TRUE
4,13,parent,matcher,K1,2,6,adult-child,"OK, got it",TRUE
4,14,parent,director,A1,2,6,adult-child,Mine looks like a person running away zzz,TRUE
4,15,child,director,I1,2,6,adult-child,Mine looks like zzz a water for their dog,TRUE
4,15,parent,matcher,I1,2,6,adult-child,Oh yeah!,TRUE
4,16,parent,director,F1,2,6,adult-child,"that's okay.  I have a person saying wait for me, wait up!",TRUE
4,17,child,director,G1,2,6,adult-child,My uh my person looks like they're sitting down on a bench,TRUE
4,17,parent,matcher,G1,2,6,adult-child,Oh yeah!,TRUE
4,18,parent,director,B1,2,6,adult-child,My person had a bad day,TRUE
4,19,child,director,D1,2,6,adult-child,My person looks like they're swimming,TRUE
4,19,parent,matcher,D1,2,6,adult-child,oh yeah!,TRUE
4,20,parent,director,E1,2,6,adult-child,Oh my person looks like we just did the best job and they're like yeah,TRUE
4,21,parent,director,K1,3,6,adult-child,OK now mine is the person who's leaning forward and holding his hands out,TRUE
4,22,child,director,C1,3,6,adult-child,My person looks like he just dropped a penny and picked it up,TRUE
4,22,parent,matcher,C1,3,6,adult-child,"oh, good!",TRUE
4,23,parent,director,D1,3,6,adult-child,My person is superman zzz,FALSE
4,24,child,director,A1,3,6,adult-child,Yes mine just looks like they're-they're just walking so peacefully because they had a good day,TRUE
4,24,parent,matcher,A1,3,6,adult-child,oh yeah,TRUE
4,25,parent,director,H1,3,6,adult-child,"My person, he does look like a monk, holding a bowl",TRUE
4,26,child,director,F1,3,6,adult-child,My person my person is waiting for the bus and the bus ran off so,TRUE
4,26,parent,matcher,F1,3,6,adult-child,"oh no! Good, yeah",TRUE
4,27,child,matcher,I1,3,6,adult-child,What is your person,TRUE
4,27,parent,director,I1,3,6,adult-child,Oh yeah it's my turn isn't it? I have a person who's saying hey brought you some flowers,TRUE
4,28,child,director,B1,3,6,adult-child,My person looks like they're sad because somebody zzz,TRUE
4,28,parent,matcher,B1,3,6,adult-child,Oh maybe they're looking on the ground for another one maybe they're gonna see,TRUE
4,29,parent,director,G1,3,6,adult-child,Mine looks like a person who is sitting down for a quiet break,TRUE
4,30,child,director,E1,3,6,adult-child,Mine looks like they're jumping for joy because zzz,TRUE
4,30,parent,matcher,E1,3,6,adult-child,Yeah!,TRUE
4,31,child,director,H1,4,6,adult-child,My person looks like my person looks like it's it's a person who gives the flowers at zzz,TRUE
4,31,parent,matcher,H1,4,6,adult-child,oh,TRUE
4,32,parent,director,F1,4,6,adult-child,"My person is running down the street saying here I am, here I am, here I am!",TRUE
4,33,child,director,G1,4,6,adult-child,Oh it's my turn wait for me but my person is quietly waiting for the bus on a bench,TRUE
4,33,parent,matcher,G1,4,6,adult-child,Oh yeah!,TRUE
4,34,parent,director,A1,4,6,adult-child,And now my person is just walking down the street because they missed it,TRUE
4,35,child,director,K1,4,6,adult-child,My person is holding out some water I mean holding out a pot of soup for anybody wants to get it,TRUE
4,35,parent,matcher,K1,4,6,adult-child,"oh nice, yeah!",TRUE
4,36,parent,director,C1,4,6,adult-child,"My person is diving into the pool, with their arms",TRUE
4,37,child,director,D1,4,6,adult-child,My person looks like they're swimming at the end of the ocean,TRUE
4,38,parent,director,E1,4,6,adult-child,My person is jumping up to catch something,TRUE
4,39,child,director,I1,4,6,adult-child,"My person is holding my person is holding out out a bucket of flowers, they're holding the flowers and putting them down for for their garden",TRUE
4,39,parent,matcher,I1,4,6,adult-child,oh yeah!,TRUE
4,40,parent,director,B1,4,6,adult-child,My person is looking for a rocket to play pinecone and kick on zzz,TRUE
5,1,parent,director,C1,1,4,adult-child,Alright you see the first box?,FALSE
5,2,child,director,F1,1,4,adult-child,I pick I'll pick this one It looks like it has um one point on like it has one point right here and another point right here and it looks like a line down and a line down right here Yeah I I think he's walking I'll pick this,FALSE
5,2,parent,matcher,F1,1,4,adult-child,OK no wait you have to describe to me what it looks like Does it look like a person What does it look like the person is doing It looks like a person walking? OK,FALSE
5,3,child,matcher,K1,1,4,adult-child,"Mhm Now I see I see the next shape with a triangle Up and down and I see a point up and now I I see another triangle hanging down I don't I'll pick I'll pick both I'll pick Yeah Oh, ok",TRUE
5,3,parent,director,K1,1,4,adult-child,OK you see the next shape? You see the next two shapes? Mhm Does it look doesn't one look like a airplane and one look like a doggy No you can't pick both you have to pick the right one Do you see the one that looks like a doggy tryna like stand on uh on its legs OK I think that's the one you should pick,TRUE
5,4,child,director,B1,1,4,adult-child,Now I see someone having a traingle down And facing that way and and it's down I see One going down and a zzz Uh it's the person walking Yeah,TRUE
5,4,parent,matcher,B1,1,4,adult-child,Mhm What shapes do you see Mm so which one is in the blue box That's what it looks like,TRUE
5,5,child,matcher,A1,1,4,adult-child,But now Now Now zzz OK wait I see a person a running zzz all going that way Yeah he's standing on one leg So I'll pick it,TRUE
5,5,parent,director,A1,1,4,adult-child,OK What do you see two shapes together OK Does it look like a person on one standing on one leg Yeah that's what it look like right Mhm,TRUE
5,6,child,director,H1,1,4,adult-child,I see someone jump into the air and he gonna fall down I see I see a a diamond in a blue box up Yeah turning up Yeah Yeah,TRUE
5,6,parent,matcher,H1,1,4,adult-child,Now what do you see What else do you see So you see it in the blue box He's holding something That's what it looks like? OK,TRUE
5,7,child,matcher,I1,1,4,adult-child,Now I see a doggy and he he's holding on one leg Yeah and he's gonna fall down,TRUE
5,7,parent,director,I1,1,4,adult-child,Ok you see any uh do you see any more pictures in here Do you see the person who looks like do you see the thing that looks like a person jumping? I want you to pick the one with the doggy standing,TRUE
5,8,child,director,G1,1,4,adult-child,Now I see someone crawling And it looks like a shape like a diamond again and it and it looks like it's going down and and up and go down It's this one It's the person it's the person that way It looks like he's um walking um and he's holding his hands on that way Yeah,FALSE
5,8,parent,matcher,G1,1,4,adult-child,Crawling and what else Which one do you see in the blue box Which one describe it to me Which one is what does it look like they're doing The one that looks like he's crawling,FALSE
5,9,child,matcher,E1,1,4,adult-child,Now now I see someone jumping and he's gonna fall down and I see someone um,FALSE
5,10,child,director,D1,1,4,adult-child,I see a airplane and a blue box And I see someone jumping and someone crawling zzz,TRUE
