subid,trial,person,role,target,rep_num,age,experiment,utterance,correct,director
4,1,child,matcher,K1,1,6,adult-child,NA,TRUE,parent
4,1,parent,director,K1,1,6,adult-child,so mine looks like a guy with a little hat and he's going,TRUE,parent
4,2,child,director,C1,1,6,adult-child,Mine looks like a guy mine looks kinda like a guy bending down,TRUE,child
4,2,parent,matcher,C1,1,6,adult-child,NA,TRUE,child
4,3,parent,director,I1,1,6,adult-child,Mine looks like a guy carrying a tray saying would you like some?,TRUE,parent
4,4,child,director,E1,1,6,adult-child,Mine looks like a person jumping for joy,TRUE,child
4,5,parent,director,H1,1,6,adult-child,Mine looks like someone's hungry and is like can I please have some more,TRUE,parent
4,6,child,director,B1,1,6,adult-child,My mine looks like a person that has their hands in their pocket and is walking away,TRUE,child
4,6,parent,matcher,B1,1,6,adult-child,NA,TRUE,child
4,7,parent,director,G1,1,6,adult-child,Well mine looks like someone who's kneeling down maybe to do something on the ground,TRUE,parent
4,8,child,director,A1,1,6,adult-child,Mine looks like something walking away,TRUE,child
4,9,parent,director,D1,1,6,adult-child,Mine looks like a person swimming,TRUE,parent
4,10,child,director,F1,1,6,adult-child,Mine looks like a person raise mine looks like a person making their hands in like a triangle shape and and and their feet are apart,TRUE,child
4,10,parent,matcher,F1,1,6,adult-child,they're like hold that bus,TRUE,child
4,11,child,director,H1,2,6,adult-child,Mine looks like mine looks like a monk,TRUE,child
4,11,parent,matcher,H1,2,6,adult-child,NA,TRUE,child
4,12,parent,director,C1,2,6,adult-child,Mine looks like a person who dropped their keys on the ground,TRUE,parent
4,13,child,director,K1,2,6,adult-child,Mine looks like a person that's ready to eat something and waiting for someone give them food,TRUE,child
4,13,parent,matcher,K1,2,6,adult-child,NA,TRUE,child
4,14,parent,director,A1,2,6,adult-child,Mine looks like a person running away,TRUE,parent
4,15,child,director,I1,2,6,adult-child,Mine looks like a water for their dog,TRUE,child
4,15,parent,matcher,I1,2,6,adult-child,NA,TRUE,child
4,16,parent,director,F1,2,6,adult-child,"I have a person saying wait for me, wait up!",TRUE,parent
4,17,child,director,G1,2,6,adult-child,My my person looks like they're sitting down on a bench,TRUE,child
4,17,parent,matcher,G1,2,6,adult-child,NA,TRUE,child
4,18,parent,director,B1,2,6,adult-child,My person had a bad day,TRUE,parent
4,19,child,director,D1,2,6,adult-child,My person looks like they're swimming,TRUE,child
4,19,parent,matcher,D1,2,6,adult-child,NA,TRUE,child
4,20,parent,director,E1,2,6,adult-child,my person looks like we just did the best job and they're like yeah,TRUE,parent
4,21,parent,director,K1,3,6,adult-child,mine is the person who's leaning forward and holding his hands out,TRUE,parent
4,22,child,director,C1,3,6,adult-child,My person looks like he just dropped a penny and picked it up,TRUE,child
4,22,parent,matcher,C1,3,6,adult-child,NA,TRUE,child
4,23,parent,director,D1,3,6,adult-child,My person is superman,FALSE,parent
4,24,child,director,A1,3,6,adult-child,mine just looks like they're - they're just walking so peacefully because they had a good day,TRUE,child
4,24,parent,matcher,A1,3,6,adult-child,NA,TRUE,child
4,25,parent,director,H1,3,6,adult-child,"My person, he does look like a monk, holding a bowl",TRUE,parent
4,26,child,director,F1,3,6,adult-child,My person my person is waiting for the bus and the bus ran off so,TRUE,child
4,26,parent,matcher,F1,3,6,adult-child,NA,TRUE,child
4,27,child,matcher,I1,3,6,adult-child,NA,TRUE,parent
4,27,parent,director,I1,3,6,adult-child,I have a person who's saying hey brought you some flowers,TRUE,parent
4,28,child,director,B1,3,6,adult-child,My person looks like they're sad because somebody,TRUE,child
4,28,parent,matcher,B1,3,6,adult-child,maybe they're looking on the ground for another one maybe they're gonna see,TRUE,child
4,29,parent,director,G1,3,6,adult-child,Mine looks like a person who is sitting down for a quiet break,TRUE,parent
4,30,child,director,E1,3,6,adult-child,Mine looks like they're jumping for joy because,TRUE,child
4,30,parent,matcher,E1,3,6,adult-child,NA,TRUE,child
4,31,child,director,H1,4,6,adult-child,My person looks like my person looks like it's it's a person who gives the flowers at,TRUE,child
4,31,parent,matcher,H1,4,6,adult-child,NA,TRUE,child
4,32,parent,director,F1,4,6,adult-child,"My person is running down the street saying here I am, here I am, here I am!",TRUE,parent
4,33,child,director,G1,4,6,adult-child,my person is quietly waiting for the bus on a bench,TRUE,child
4,33,parent,matcher,G1,4,6,adult-child,NA,TRUE,child
4,34,parent,director,A1,4,6,adult-child,my person is just walking down the street because they missed it,TRUE,parent
4,35,child,director,K1,4,6,adult-child,My person is holding out some water I mean holding out a pot of soup for anybody wants to get it,TRUE,child
4,35,parent,matcher,K1,4,6,adult-child,NA,TRUE,child
4,36,parent,director,C1,4,6,adult-child,"My person is diving into the pool, with their arms",TRUE,parent
4,37,child,director,D1,4,6,adult-child,My person looks like they're swimming at the end of the ocean,TRUE,child
4,38,parent,director,E1,4,6,adult-child,My person is jumping up to catch something,TRUE,parent
4,39,child,director,I1,4,6,adult-child,"My person is holding my person is holding out out a bucket of flowers, they're holding the flowers and putting them down for for their garden",TRUE,child
4,39,parent,matcher,I1,4,6,adult-child,NA,TRUE,child
4,40,parent,director,B1,4,6,adult-child,My person is looking for a rocket to play pinecone and kick on,TRUE,parent
5,1,parent,director,C1,1,4,adult-child,NA,FALSE,parent
5,2,child,director,F1,1,4,adult-child,It looks like it has one point on like it has one point right here and another point right here and it looks like a line down and a line down right here Yeah I I think he's walking,FALSE,child
5,2,parent,matcher,F1,1,4,adult-child,Does it look like a person What does it look like the person is doing It looks like a person walking?,FALSE,child
5,3,child,matcher,K1,1,4,adult-child,I see the next shape with a triangle Up and down and I see a point up and I see another triangle hanging down,TRUE,parent
